Observation ,VisitAsia ,Smoking   ,Tuberculosis ,LungCancer ,Tb_or_Ca ,XRay     ,Bronchitis ,Dyspnea ,Probability
        244 ,NoVisit   ,NoSmoking ,Absent       ,Absent     ,True     ,Abnormal ,Absent     ,False   ,0.0
        245 ,NoVisit   ,NoSmoking ,Absent       ,Absent     ,True     ,Normal   ,Present    ,True    ,0.0
        246 ,NoVisit   ,NoSmoking ,Absent       ,Absent     ,True     ,Normal   ,Present    ,False   ,0.0
        247 ,NoVisit   ,NoSmoking ,Absent       ,Absent     ,True     ,Normal   ,Absent     ,True    ,0.0
        248 ,NoVisit   ,NoSmoking ,Absent       ,Absent     ,True     ,Normal   ,Absent     ,False   ,0.0
        249 ,NoVisit   ,NoSmoking ,Absent       ,Absent     ,False    ,Abnormal ,Present    ,True    ,0.005821794
        250 ,NoVisit   ,NoSmoking ,Absent       ,Absent     ,False    ,Abnormal ,Present    ,False   ,0.0014554485
        251 ,NoVisit   ,NoSmoking ,Absent       ,Absent     ,False    ,Abnormal ,Absent     ,True    ,0.0016980232499999998
        252 ,NoVisit   ,NoSmoking ,Absent       ,Absent     ,False    ,Abnormal ,Absent     ,False   ,0.015282209249999998
        253 ,NoVisit   ,NoSmoking ,Absent       ,Absent     ,False    ,Normal   ,Present    ,True    ,0.11061408599999999
        254 ,NoVisit   ,NoSmoking ,Absent       ,Absent     ,False    ,Normal   ,Present    ,False   ,0.027653521499999997
        255 ,NoVisit   ,NoSmoking ,Absent       ,Absent     ,False    ,Normal   ,Absent     ,True    ,0.032262441749999995
        256 ,NoVisit   ,NoSmoking ,Absent       ,Absent     ,False    ,Normal   ,Absent     ,False   ,0.29036197574999995
